,cluster,count_cust
0,0,1744.761
1,1,435.58099999999996
2,2,80.122
3,3,640.832
4,4,407.512
5,5,401.067
6,6,30.043999999999997
7,7,14.373
8,8,81.965
9,9,340.027
10,10,228.794
11,11,840.5790000000001
12,12,203.93599999999998
13,13,1048.052
14,14,4761.359
15,15,21.558
16,16,118.789
17,17,32.865
18,18,1878.7979999999998
19,19,63.599000000000004
20,20,526.69
21,21,2218.0899999999997
22,22,19.354
23,23,188.79000000000002
24,24,1291.16
25,25,2062.26
26,26,286.74
27,27,429.298
28,28,549.136
29,29,116.71199999999999
30,30,34.437
31,31,185.85
32,32,25.750999999999998
33,33,69.133
34,34,38.861
35,35,9.68
36,36,37.314
37,37,53.51
38,38,263.49399999999997
39,39,858.644
40,40,481.058
41,41,39.050000000000004
42,42,373.932
43,43,485.621
44,44,136.209
45,45,2787.819
46,46,133.805
47,47,2203.361
48,48,3401.395
49,49,4.313
50,50,60.265
51,51,229.27100000000002
52,52,276.013
53,53,9.111
54,54,1054.513
55,55,82.22099999999999
56,56,521.918
57,57,370.339
58,58,41.926
59,59,9.396
60,60,559.836
61,61,36.119
62,62,574.802
63,63,378.943
64,64,4.766
65,65,958.8240000000001
66,66,57.955
67,67,1509.876
68,68,3.699
69,69,155.174
70,70,3.194
71,71,118.225
72,72,3657.418
73,73,1440.076
74,74,1624.45
75,75,332.09000000000003
76,76,95.147
77,77,404.65500000000003
78,78,115.137
79,79,4350.242
80,80,2809.7309999999998
81,81,46.812000000000005
82,82,4100.077
83,83,697.373
84,84,27.732
85,85,188.186
86,86,298.804
87,87,21.458000000000002
88,88,100.409
89,89,1601.1970000000001
90,90,1858.4869999999999
91,91,6.458
92,92,1055.158
93,93,4881.402
94,94,1600.398
95,95,73.871
96,96,2562.6310000000003
97,97,44.340999999999994
98,98,106.452
99,99,442.177
100,100,552.514
101,101,19.114
102,102,174.142
103,103,234.63
104,104,10.718
105,105,86.851
106,106,432.21099999999996
107,107,3916.2610000000004
108,108,7.876
109,109,1046.7959999999998
110,110,35.271
111,111,1295.5
112,112,48.36
113,113,231.71800000000002
114,114,1099.497
115,115,1186.259
116,116,121.009
117,117,165.48399999999998
118,118,300.051
119,119,27.492
120,120,733.9639999999998
121,121,16.754
122,122,910.6379999999999
123,123,534.914
124,124,2277.86
125,125,4.482
126,126,683.8729999999999
127,127,25.479
128,128,3017.4519999999998
129,129,97.69399999999999
130,130,214.62300000000002
131,131,217.64
132,132,1767.786
133,133,82.769
134,134,733.043
135,135,4.244
136,136,825.5770000000001
137,137,1345.499
138,138,236.43499999999997
139,139,469.93
140,140,16.767
141,141,1134.7350000000001
142,142,4.585
143,143,715.9970000000001
144,144,190.966
145,145,1656.749
146,146,1129.854
147,147,1701.596
148,148,1690.6670000000001
149,149,1532.17
150,150,70.818
151,151,8.279
152,152,484.56100000000004
153,153,3097.0699999999997
154,154,14.3
155,155,631.067
156,156,1274.357
157,157,156.416
158,158,78.638
