,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
0,228-1-000062,행정타운 주변,공영,노상,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,123,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 회계과,031-324-3104,37.240867332,127.1779683677,2021-10-26
1,228-1-000063,국도 42호선 주변,공영,노상,,경기도 용인시 처인구 김량장동 380,129,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2339586516,127.1971687053,2021-10-26
2,228-1-000065,금호어울림 주변,공영,노상,,경기도 용인시 처인구 김량장동 381,109,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2359752562,127.1949761655,2021-10-26
3,228-1-000067,문예회관 주변,공영,노상,경기도 용인시 처인구 중부대로1440번길 5,경기도 용인시 처인구 김량장동 384,163,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2322958985,127.2043544881,2021-10-26
4,228-1-000069,양지천 노상주차장,공영,노상,,경기도 용인시 처인구 마평동 950,62,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2351187384,127.2189631515,2021-10-26
5,228-1-000070,오성웨딩홀 주변,공영,노상,,경기도 용인시 처인구 김량장동 382,68,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2359510224,127.2023350043,2021-10-26
6,228-1-000071,용인고등학교 주변,공영,노상,,경기도 용인시 처인구 역북동 484,68,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2386863711,127.1911339205,2021-10-26
7,228-1-000073,처인구청 주변,공영,노상,,경기도 용인시 처인구 김량장동 383,102,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2339028499,127.2022195535,2021-10-26
8,228-1-000074,외대 진입로,공영,노상,,경기도 용인시 처인구 모현읍 왕산리 945-2,82,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.3367438889,127.2517873261,2021-10-26
9,228-1-000075,처인성로 주변,공영,노상,,경기도 용인시 처인구 남사면 봉무리 652-1,57,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.11373368,127.1512434,2021-10-26
10,228-1-000076,고당로 주변,공영,노상,,경기도 용인시 처인구 원삼면 고당리 308-3,92,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.1645303802,127.3065957791,2021-10-26
11,228-1-000078,전대리,공영,노상,,경기도 용인시 처인구 포곡읍 전대리 546-53,84,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2883661927,127.2154359579,2021-10-26
